bioproject_accession,biosample_accession,checkm_completeness,checkm_contamination,coarse_consistency,contig_l50,contig_n50,contigs,fine_consistency,genome_id,genome_length,genome_name,genome_quality,mlst,cgmlst_hc0,cgmlst_hc2,cgmlst_hc5,cgmlst_hc10,cgmlst_hc20,cgmlst_hc50,cgmlst_hc100,assembly_accession,collection_date,genome_quality_flags
,,99.81,0.0,98.07,6,115846,56,97.83,1280.30179,2767133,Staphylococcus aureus strain HICF0641,Good,MLST.saureus.2851,18228,18228,18228,18228,18228,18228,18228,,2018,
,,99.81,0.0,98.01,12,82943,68,97.71,1280.30180,2797874,Staphylococcus aureus strain HICF0640,Good,MLST.saureus.22,18229,18229,18229,18229,18229,1216,17,,2018,
,,99.81,0.0,98.01,8,141930,86,97.83,1280.30181,2832426,Staphylococcus aureus strain HICF0651,Good,MLST.saureus.508,13995,13995,13995,13995,13995,13995,13860,,2018,
,,98.66,0.0,97.89,7,108072,61,97.47,1280.30182,2758731,Staphylococcus aureus strain HICF0633,Good,MLST.saureus.22,18230,18199,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.01,4,129146,30,97.77,1280.30183,2733912,Staphylococcus aureus strain HICF0638,Good,MLST.saureus.45,18231,18231,18231,18231,18231,18190,13028,,2018,
,,99.81,0.0,98.13,6,160571,51,97.89,1280.30184,2787357,Staphylococcus aureus strain HICF0637,Good,MLST.saureus.5,18232,18232,18232,18232,18232,18232,18122,,2018,
,,99.81,0.0,98.13,7,132750,66,97.89,1280.30185,2823407,Staphylococcus aureus strain HICF0636,Good,MLST.saureus.8,18233,18233,18233,18233,18233,18233,18179,,2018,
,,99.81,0.0,98.07,9,87469,61,97.71,1280.30186,2729419,Staphylococcus aureus strain HICF0635,Good,MLST.saureus.22,18234,18234,18234,18234,18234,1216,17,,2018,
,,99.81,0.0,98.07,9,107384,60,97.77,1280.30187,2814956,Staphylococcus aureus strain HICF0653,Good,MLST.saureus.22,13996,13953,13878,13878,13878,13878,17,,2018,
,,99.81,0.0,98.07,10,106844,70,97.83,1280.30188,2748191,Staphylococcus aureus strain HICF0652,Good,MLST.saureus.6,18235,18235,18235,18235,18235,5774,24,,2018,
,,99.81,0.0,98.07,11,100522,66,97.77,1280.30189,2823178,Staphylococcus aureus strain HICF0630,Good,MLST.saureus.22,18227,18227,18227,18227,18227,1216,17,,2018,
,,99.81,0.0,98.07,7,150377,60,97.71,1280.30190,2825549,Staphylococcus aureus strain HICF0656,Good,MLST.saureus.22,18237,18237,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.07,8,100556,58,97.77,1280.30191,2771990,Staphylococcus aureus strain HICF0648,Good,MLST.saureus.22,18238,18238,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.07,8,107384,91,97.83,1280.30192,2754229,Staphylococcus aureus strain HICF0649,Good,MLST.saureus.737,18239,18239,18239,18239,18239,18239,18239,,2018,
,,99.81,0.0,98.07,10,72119,63,97.65,1280.30193,2789858,Staphylococcus aureus strain HICF0654,Good,MLST.saureus.22,18240,18240,18240,18240,18240,1216,17,,2018,
,,99.81,0.0,97.95,9,98581,61,97.65,1280.30194,2761846,Staphylococcus aureus strain HICF0647,Good,MLST.saureus.30,13997,13997,13997,13997,13997,13894,7099,,2018,
,,99.81,0.0,98.13,8,140120,76,97.89,1280.30195,2713073,Staphylococcus aureus strain HICF0655,Good,MLST.saureus.8,13998,13998,13998,13998,13998,13998,13933,,2018,
,,99.81,0.0,98.01,3,193295,26,97.77,1280.30196,2736477,Staphylococcus aureus strain HICF0642,Good,MLST.saureus.45,13999,13885,13885,13885,13885,13885,13028,,2018,
,,99.81,0.0,98.07,7,108007,53,97.77,1280.30197,2764044,Staphylococcus aureus strain HICF0643,Good,MLST.saureus.22,14000,14000,14000,14000,14000,13881,17,,2018,
,,99.81,0.0,98.07,9,100556,58,97.65,1280.30198,2769499,Staphylococcus aureus strain HICF0646,Good,MLST.saureus.22,13086,13086,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.01,5,149715,48,97.77,1280.30199,2738743,Staphylococcus aureus strain HICF0644,Good,MLST.saureus.45,13087,13087,13038,13038,13038,13028,13028,,2018,
,,99.81,0.0,98.01,3,192267,62,97.83,1280.30200,2808282,Staphylococcus aureus strain HICF0645,Good,MLST.saureus.45,13327,13327,13327,13327,13327,13327,13327,,2018,
,,99.81,0.0,98.07,9,88311,58,97.77,1280.30201,2800456,Staphylococcus aureus strain HICF0665,Good,MLST.saureus.22,14001,13916,13916,13916,13916,13881,17,,2018,
,,99.81,0.0,98.07,10,72874,67,97.77,1280.30202,2811215,Staphylococcus aureus strain HICF0668,Good,MLST.saureus.22,13088,13088,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.07,9,100556,68,97.77,1280.30203,2812047,Staphylococcus aureus strain HICF0661,Good,MLST.saureus.22,13328,13328,13285,13285,13285,13285,17,,2018,
,,99.81,0.0,98.07,10,102489,74,97.89,1280.30204,2720509,Staphylococcus aureus strain HICF0666,Good,MLST.saureus.59,13089,13089,13089,13089,13034,13034,71,,2018,
,,99.81,0.0,98.07,10,83589,73,97.77,1280.30205,2849925,Staphylococcus aureus strain HICF0663,Good,MLST.saureus.22,13044,13044,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.07,9,107384,65,97.77,1280.30206,2801322,Staphylococcus aureus strain HICF0660,Good,MLST.saureus.22,13091,13055,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.01,9,98171,93,97.71,1280.30207,2738840,Staphylococcus aureus strain HICF0662,Good,MLST.saureus.1245,13092,13092,13092,13092,13092,13092,1211,,2018,
,,99.81,0.0,98.01,7,108138,44,97.77,1280.30208,2761446,Staphylococcus aureus strain HICF0667,Good,MLST.saureus.45,13329,13329,13329,13329,13329,13291,13028,,2018,
,,99.81,0.0,97.95,11,78490,103,97.41,1280.30209,2863221,Staphylococcus aureus strain HICF0659,Good,MLST.saureus.36,13093,13093,13093,13093,13093,13093,21,,2018,
,,99.81,0.0,98.07,8,86688,64,97.77,1280.30210,2818083,Staphylococcus aureus strain HICF0658,Good,MLST.saureus.22,13330,13330,13285,13285,13285,13285,17,,2018,
,,99.81,0.0,98.07,7,135844,88,97.83,1280.30211,2776348,Staphylococcus aureus strain HICF0657,Good,MLST.saureus.398,13331,13331,13331,13331,13331,13331,13331,,2018,
,,99.81,0.0,98.07,12,72874,87,97.71,1280.30212,2732833,Staphylococcus aureus strain HICF0674,Good,MLST.saureus.2371,13332,13302,13302,13302,13302,3030,1815,,2018,
,,99.81,0.0,97.95,9,84014,85,97.59,1280.30213,2801712,Staphylococcus aureus strain HICF0675,Good,MLST.saureus.30,13333,13333,13333,13333,13333,13333,13333,,2018,
,,99.81,0.0,98.07,10,87467,60,97.83,1280.30214,2727400,Staphylococcus aureus strain HICF0681,Good,MLST.saureus.22,18241,18241,18241,18241,18241,18241,11977,,2018,
,,99.81,0.0,98.07,9,108199,65,97.77,1280.30215,2767399,Staphylococcus aureus strain HICF0677,Good,MLST.saureus.22,18242,18242,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.07,10,100491,82,97.77,1280.30216,2678377,Staphylococcus aureus strain HICF0678,Good,MLST.saureus.59,18243,18243,18243,18243,18196,18196,71,,2018,
,,99.81,0.0,98.07,10,107386,77,97.83,1280.30217,2823803,Staphylococcus aureus strain HICF0680,Good,MLST.saureus.22,18244,18244,18244,18244,18099,1216,17,,2018,
,,99.81,0.0,98.07,9,88543,66,97.71,1280.30218,2819726,Staphylococcus aureus strain HICF0670,Good,MLST.saureus.22,13094,13094,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.01,5,158198,73,97.83,1280.30219,2785831,Staphylococcus aureus strain HICF669,Good,MLST.saureus.45,18245,18224,18224,18224,18224,18224,18224,,2018,
,,99.81,0.0,98.07,10,96680,69,97.83,1280.30220,2720788,Staphylococcus aureus strain HICF0672,Good,MLST.saureus.15,18246,18246,18246,18246,18246,18246,18246,,2018,
,,99.81,0.0,98.01,3,174647,33,97.77,1280.30221,2747776,Staphylococcus aureus strain HICF0673,Good,MLST.saureus.45,18247,18247,18247,18247,18247,18190,13028,,2018,
,,99.81,0.0,98.01,8,108006,69,97.71,1280.30222,2787266,Staphylococcus aureus strain HICF0671,Good,MLST.saureus.22,18248,18248,18248,18248,18248,18248,18248,,2018,
,,99.81,0.0,98.07,8,125239,58,97.77,1280.30223,2820212,Staphylococcus aureus strain HICF0692,Good,MLST.saureus.22,13334,13318,13285,13285,13285,13285,17,,2018,
,,99.81,0.0,98.07,8,107838,53,97.77,1280.30224,2770686,Staphylococcus aureus strain HICF0691,Good,MLST.saureus.22,13335,13335,13335,13335,13335,13287,17,,2018,
,,99.81,0.0,98.07,8,107384,53,97.83,1280.30225,2773460,Staphylococcus aureus strain HICF0684,Good,MLST.saureus.22,18249,18249,18249,18249,18082,1216,17,,2018,
,,99.81,0.0,98.07,8,91015,62,97.77,1280.30226,2803941,Staphylococcus aureus strain HICF0688,Good,MLST.saureus.22,18250,18250,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.07,10,88543,61,97.77,1280.30227,2791044,Staphylococcus aureus strain HICF0689,Good,MLST.saureus.22,18251,18220,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.07,8,110014,58,97.71,1280.30228,2774387,Staphylococcus aureus strain HICF0685,Good,MLST.saureus.22,14002,14002,14002,14002,13955,13881,17,,2018,
,,99.81,0.0,98.07,10,74028,67,97.83,1280.30229,2775838,Staphylococcus aureus strain HICF0687,Good,MLST.saureus.22,14003,14003,14003,14003,14003,14003,1294,,2018,
,,99.81,0.0,98.07,11,57438,90,97.77,1280.30230,2828367,Staphylococcus aureus strain HICF0686,Good,MLST.saureus.22,13336,13336,13336,13336,13336,13336,17,,2018,
,,99.81,0.0,98.07,8,107384,61,97.59,1280.30231,2826352,Staphylococcus aureus strain HICF0683,Good,MLST.saureus.22,18252,18238,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.13,5,221569,33,97.95,1280.30232,2731748,Staphylococcus aureus strain HICF0690,Good,MLST.saureus.125,18253,18253,18253,18253,18253,18253,18071,,2018,
,,99.81,0.0,98.07,10,87423,55,97.77,1280.30233,2764364,Staphylococcus aureus strain HICF0682,Good,MLST.saureus.22,18254,18254,18254,18254,18082,1216,17,,2018,
,,99.81,0.19,98.07,10,88544,54,97.77,1280.30234,2769739,Staphylococcus aureus strain HICF0698,Good,MLST.saureus.22,18255,18255,18255,18255,18255,1216,17,,2018,
,,99.81,0.0,98.07,7,150069,51,97.89,1280.30235,2733787,Staphylococcus aureus strain HICF0693,Good,MLST.saureus.149,18256,18256,18256,18256,18256,18137,18137,,2018,
,,99.81,0.0,98.07,8,108007,59,97.59,1280.30236,2816783,Staphylococcus aureus strain HICF0694,Good,MLST.saureus.22,18257,18257,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.07,7,125238,53,97.77,1280.30237,2744348,Staphylococcus aureus strain HICF0695,Good,MLST.saureus.22,13337,13337,13285,13285,13285,13285,17,,2018,
,,99.81,0.0,98.07,10,88543,61,97.83,1280.30238,2811211,Staphylococcus aureus strain HICF0708,Good,MLST.saureus.22,13095,13095,13095,13029,13029,12956,17,,2018,
,,99.81,0.0,98.13,8,114294,48,97.77,1280.30239,2722004,Staphylococcus aureus strain HICF0707,Good,MLST.saureus.97,13096,13054,13054,13054,13054,12957,63,,2018,
,,99.81,0.0,98.07,9,107384,61,97.77,1280.30240,2813968,Staphylococcus aureus strain HICF0705,Good,MLST.saureus.22,13097,13097,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.13,8,94280,59,97.89,1280.30241,2783852,Staphylococcus aureus strain HICF0706,Good,MLST.saureus.105,13098,13098,13098,13098,13098,13098,40,,2018,
,,99.81,0.0,98.07,10,87441,94,97.77,1280.30242,2766047,Staphylococcus aureus strain HICF0710,Good,MLST.saureus.22,13099,13099,13099,13099,13099,12956,17,,2018,
,,99.81,0.0,98.07,10,107936,61,97.71,1280.30243,2799185,Staphylococcus aureus strain HICF0712,Good,MLST.saureus.22,14004,14004,14004,14004,13886,13881,17,,2018,
,,99.81,0.0,98.07,11,100491,79,97.77,1280.30244,2675144,Staphylococcus aureus strain HICF0709,Good,MLST.saureus.59,14005,13897,13897,13897,13897,13897,71,,2018,
,,99.81,0.0,98.01,4,174024,44,97.77,1280.30245,2786213,Staphylococcus aureus strain HICF0715,Good,MLST.saureus.45,13100,13100,13074,13074,13028,13028,13028,,2018,
,,99.81,0.0,98.07,8,100647,55,97.83,1280.30246,2814455,Staphylococcus aureus strain HICF0711,Good,MLST.saureus.22,13338,13290,13290,13290,13290,13287,17,,2018,
,,99.81,0.0,98.07,10,83568,66,97.71,1280.30247,2729698,Staphylococcus aureus strain HICF0716,Good,MLST.saureus.22,14006,14006,14006,14006,14006,13881,17,,2018,
,,99.81,0.0,98.07,10,94887,61,97.65,1280.30248,2790255,Staphylococcus aureus strain HICF0714,Good,MLST.saureus.22,18258,18258,18258,18258,18258,1216,17,,2018,
,,99.81,0.0,98.07,6,190590,37,97.89,1280.30249,2755707,Staphylococcus aureus strain HICF0699,Good,MLST.saureus.149,18259,18259,18259,18259,18259,18259,18137,,2018,
,,99.81,0.0,98.13,8,104324,56,97.89,1280.30250,2825642,Staphylococcus aureus strain HICF0696,Good,MLST.saureus.5,14007,14007,14007,14007,14007,13957,13957,,2018,
,,99.81,0.0,98.07,9,125142,56,97.77,1280.30251,2709036,Staphylococcus aureus strain HICF0697,Good,MLST.saureus.834,13101,13101,13101,13101,13101,13101,13101,,2018,
,,99.81,0.0,98.07,8,107384,60,97.71,1280.30252,2748864,Staphylococcus aureus strain HICF0700,Good,MLST.saureus.737,13102,13102,13102,13102,13102,13102,13102,,2018,
,,99.81,0.0,98.07,8,133748,55,97.77,1280.30253,2788657,Staphylococcus aureus strain HICF0704,Good,MLST.saureus.22,13103,13097,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.07,7,142692,65,97.83,1280.30254,2751440,Staphylococcus aureus strain HICF0703,Good,MLST.saureus.6,13104,13104,13104,13104,13104,13104,24,,2018,
,,99.81,0.0,98.13,6,144448,61,97.89,1280.30255,2826312,Staphylococcus aureus strain HICF0702,Good,MLST.saureus.8,13105,13105,13105,13105,13105,13105,13105,,2018,
,,99.81,0.0,98.07,9,107384,62,97.77,1280.30256,2853855,Staphylococcus aureus strain HICF0727,Good,MLST.saureus.22,13106,13044,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.07,9,107170,56,97.77,1280.30257,2751053,Staphylococcus aureus strain HICF0725,Good,MLST.saureus.22,13107,13107,13107,13107,13107,12956,17,,2018,
,,99.81,0.0,98.07,8,100483,64,97.77,1280.30258,2801193,Staphylococcus aureus strain HICF0723,Good,MLST.saureus.22,13108,13055,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.13,11,84502,106,97.77,1280.30259,2827756,Staphylococcus aureus strain HICF0722,Good,MLST.saureus.612,13109,13109,13109,13109,13109,13109,12026,,2018,
,,99.81,0.0,98.07,10,90356,63,97.65,1280.30260,2771880,Staphylococcus aureus strain HICF0724,Good,MLST.saureus.22,13110,13110,13110,13110,13110,12956,17,,2018,
,,99.81,0.0,98.07,8,107384,65,97.77,1280.30261,2848364,Staphylococcus aureus strain HICF0721,Good,MLST.saureus.22,13111,13044,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.07,9,108007,67,97.77,1280.30262,2800191,Staphylococcus aureus strain HICF0717,Good,MLST.saureus.22,13112,13026,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.07,9,100483,64,97.77,1280.30263,2815887,Staphylococcus aureus strain HICF0737,Good,MLST.saureus.22,13113,13113,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.01,5,174535,44,97.77,1280.30264,2722965,Staphylococcus aureus strain HICF0736,Good,MLST.saureus.45,13114,13114,13114,13114,13028,13028,13028,,2018,
,,99.81,0.0,98.07,10,72875,62,97.71,1280.30265,2753315,Staphylococcus aureus strain HICF0735,Good,MLST.saureus.22,13115,13115,13115,13115,12958,12956,17,,2018,
,,99.81,0.19,98.01,4,174536,61,97.59,1280.30266,2759211,Staphylococcus aureus strain HICF0738,Good,MLST.saureus.45,13116,13116,13116,13116,13116,13028,13028,,2018,
,,99.81,0.0,98.07,12,84708,83,97.77,1280.30267,2671612,Staphylococcus aureus strain HICF0739,Good,MLST.saureus.59,13117,13034,13034,13034,13034,13034,71,,2018,
,,99.81,0.0,98.13,6,161232,35,97.83,1280.30268,2834917,Staphylococcus aureus strain HICF0728,Good,MLST.saureus.5,13118,13118,13118,13118,13118,13118,5772,,2018,
,,99.81,0.0,98.07,10,76877,62,97.77,1280.30269,2740359,Staphylococcus aureus strain HICF0729,Good,MLST.saureus.22,13119,13119,13119,13119,13107,12956,17,,2018,
,,99.81,0.0,98.07,10,87180,67,97.77,1280.30270,2813488,Staphylococcus aureus strain HICF0733,Good,MLST.saureus.22,13120,13120,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.13,5,168379,42,97.65,1280.30271,2737942,Staphylococcus aureus strain HICF0731,Good,MLST.saureus.5,13121,13121,13121,13121,13121,13121,1189,,2018,
,,99.81,0.0,98.01,5,174535,46,97.71,1280.30272,2752619,Staphylococcus aureus strain HICF0734,Good,MLST.saureus.45,13122,13122,13038,13038,13038,13028,13028,,2018,
,,99.81,0.0,98.07,13,90695,93,97.71,1280.30273,2749783,Staphylococcus aureus strain HICF0730,Good,MLST.saureus.59,13123,13123,13123,13123,13123,13123,71,,2018,
,,99.81,0.0,98.07,11,100623,71,97.77,1280.30274,2684724,Staphylococcus aureus strain HICF0726,Good,MLST.saureus.59,13124,13124,13034,13034,13034,13034,71,,2018,
,,99.81,0.0,98.07,9,87474,69,97.77,1280.30275,2770222,Staphylococcus aureus strain HICF0718,Good,MLST.saureus.22,13125,13125,13125,13125,13125,13125,17,,2018,
,,99.81,0.0,98.07,10,102097,67,97.71,1280.30276,2724129,Staphylococcus aureus strain HICF0720,Good,MLST.saureus.1649,13126,13126,13126,13126,13049,13049,24,,2018,
,,99.81,0.0,98.07,10,87205,65,97.77,1280.30277,2815240,Staphylococcus aureus strain HICF0719,Good,MLST.saureus.22,13127,13127,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.07,8,108007,69,97.77,1280.30278,2819228,Staphylococcus aureus strain HICF0748,Good,MLST.saureus.22,13128,13128,13128,13026,13026,13026,17,,2018,
,,99.81,0.0,98.07,11,80349,82,97.77,1280.30279,2793029,Staphylococcus aureus strain HICF0740,Good,MLST.saureus.22,13129,13129,13129,13129,12959,12956,17,,2018,
,,99.81,0.0,98.07,7,125238,64,97.77,1280.30280,2805788,Staphylococcus aureus strain HICF0744,Good,MLST.saureus.22,13130,13055,13026,13026,13026,13026,17,,2018,
,,99.81,0.0,98.01,4,173446,47,97.77,1280.30281,2784217,Staphylococcus aureus strain HICF0742,Good,MLST.saureus.45,18260,18260,18260,18260,18231,18190,13028,,2018,
,,99.81,0.0,98.07,11,88544,65,97.77,1280.30282,2766408,Staphylococcus aureus strain HICF0753,Good,MLST.saureus.22,18261,18201,18201,18201,18201,1216,17,,2018,
,,99.81,0.0,98.13,7,144676,61,97.89,1280.30283,2882276,Staphylococcus aureus strain HICF0752,Good,MLST.saureus.8,13131,13131,13131,13131,12961,56,56,,2018,
,,99.81,0.0,98.07,7,122574,77,97.83,1280.30284,2792018,Staphylococcus aureus strain HICF0754,Good,MLST.saureus.1232,13132,13132,13132,13132,13132,13132,10705,,2018,
,,99.81,0.0,98.07,9,119687,73,97.77,1280.30285,2804423,Staphylococcus aureus strain HICF0747,Good,MLST.saureus.22,13133,13133,13133,13133,13133,13133,1294,,2018,
,,99.81,0.0,98.07,9,109082,87,97.77,1280.30286,2747442,Staphylococcus aureus strain HICF0743,Good,MLST.saureus.789,13134,13134,13134,13134,13134,13134,13134,,2018,
,,99.81,0.0,98.01,3,352130,31,97.77,1280.30287,2748113,Staphylococcus aureus strain HICF0751,Good,MLST.saureus.45,14008,14008,14008,14008,13885,13885,13028,,2018,
,,99.81,0.0,98.07,10,101513,81,97.71,1280.30288,2743519,Staphylococcus aureus strain HICF0745,Good,MLST.saureus.59,14009,13900,13900,13900,13900,13900,71,,2018,
,,99.81,0.0,98.07,8,125238,53,97.77,1280.30289,2772973,Staphylococcus aureus strain HICF0761,Good,MLST.saureus.22,14010,14010,13878,13878,13878,13878,17,,2018,
,,99.81,0.0,98.07,13,60593,92,97.71,1280.30290,2879272,Staphylococcus aureus strain HICF0759,Good,MLST.saureus.22,13339,13339,13285,13285,13285,13285,17,,2018,
,,99.81,0.0,98.07,9,100556,69,97.77,1280.30291,2814856,Staphylococcus aureus strain HICF0760,Good,MLST.saureus.22,14011,13944,13878,13878,13878,13878,17,,2018,
,,99.81,0.0,98.01,5,145570,48,97.77,1280.30292,2744383,Staphylococcus aureus strain HICF0767,Good,MLST.saureus.45,13340,13340,13340,13291,13291,13291,13028,,2018,
,,99.81,0.0,98.07,9,102489,76,97.77,1280.30293,2679423,Staphylococcus aureus strain HICF0765,Good,MLST.saureus.59,13341,13308,13308,13308,13308,13308,71,,2018,
,,99.81,0.0,98.07,11,74011,69,97.65,1280.30294,2727339,Staphylococcus aureus strain HICF0762,Good,MLST.saureus.22,13342,13342,13342,13342,13342,13286,1294,,2018,
,,99.81,0.0,98.07,9,106544,68,97.77,1280.30295,2786429,Staphylococcus aureus strain HICF0763,Good,MLST.saureus.22,13343,13343,13343,13285,13285,13285,17,,2018,
,,99.81,0.0,98.07,10,88544,67,97.83,1280.30296,2793205,Staphylococcus aureus strain HICF0758,Good,MLST.saureus.22,18262,18146,18103,18103,18103,1216,17,,2018,
,,99.81,0.0,98.07,13,72983,75,97.71,1280.30297,2837556,Staphylococcus aureus strain HICF0755,Good,MLST.saureus.22,18263,18263,18263,18263,18263,1216,17,,2018,
,,99.81,0.0,97.95,9,101934,68,97.71,1280.30298,2818385,Staphylococcus aureus strain HICF0756,Good,MLST.saureus.1472,18264,18264,18264,18264,18264,18264,18264,,2018,
,,99.81,0.0,98.13,8,108810,55,97.89,1280.30299,2684085,Staphylococcus aureus strain HICF0757,Good,MLST.saureus.72,18265,18265,18265,18265,18265,18265,18265,,2018,
,,99.81,0.0,98.01,3,268124,34,97.77,1280.30300,2749207,Staphylococcus aureus strain HICF0772,Good,MLST.saureus.45,18266,18266,18247,18247,18247,18190,13028,,2018,
,,99.81,0.0,98.01,4,178614,35,97.71,1280.30301,2790417,Staphylococcus aureus strain HICF0778,Good,MLST.saureus.45,18267,18267,18267,18267,18231,18190,13028,,2018,
,,99.81,0.19,98.07,11,88533,56,97.77,1280.30302,2769409,Staphylococcus aureus strain HICF0779,Good,MLST.saureus.22,18268,18268,18255,18255,18255,1216,17,,2018,
,,99.81,0.0,97.95,9,137313,65,97.77,1280.30303,2770596,Staphylococcus aureus strain HICF0768,Good,MLST.saureus.30,18269,18211,18211,18211,18211,18211,848,,2018,
,,99.81,0.0,97.95,8,136091,51,97.77,1280.30304,2743310,Staphylococcus aureus strain HICF0774,Good,MLST.saureus.30,13135,13135,13135,13135,13135,13135,13135,,2018,
,,99.81,0.0,98.01,3,184304,32,97.65,1280.30305,2741863,Staphylococcus aureus strain HICF0771,Good,MLST.saureus.45,18270,18270,18270,18231,18231,18190,13028,,2018,
,,99.81,0.0,98.07,11,76875,79,97.71,1280.30306,2859360,Staphylococcus aureus strain HICF0776,Good,MLST.saureus.22,18271,18271,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.07,9,100637,77,97.77,1280.30307,2683735,Staphylococcus aureus strain HICF0770,Good,59*,18272,18272,18196,18196,18196,18196,71,,2018,
,,99.81,0.0,98.07,7,125257,67,97.65,1280.30308,2771811,Staphylococcus aureus strain HICF0777,Good,MLST.saureus.22,18273,18273,18273,18273,18273,18273,17,,2018,
,,99.81,0.0,98.07,9,88543,75,97.77,1280.30309,2805886,Staphylococcus aureus strain HICF0775,Good,MLST.saureus.22,18274,18274,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.07,12,70938,88,97.77,1280.30310,2767085,Staphylococcus aureus strain HICF0769,Good,MLST.saureus.22,14012,14012,13878,13878,13878,13878,17,,2018,
,,99.81,0.0,98.07,9,106539,73,97.77,1280.30311,2855480,Staphylococcus aureus strain HICF0780,Good,MLST.saureus.22,14013,14013,13878,13878,13878,13878,17,,2018,
,,99.81,0.0,98.07,11,72865,68,97.65,1280.30312,2755025,Staphylococcus aureus strain HICF0785,Good,MLST.saureus.22,13136,13136,13136,13136,13136,13136,1294,,2018,
,,99.81,0.0,97.95,9,100684,74,97.77,1280.30313,2754268,Staphylococcus aureus strain HICF0788,Good,MLST.saureus.30,13137,13137,13137,13137,13137,13137,13077,,2018,
,,99.81,0.0,98.07,10,96450,62,97.71,1280.30314,2815869,Staphylococcus aureus strain HICF0790,Good,MLST.saureus.22,13138,13138,13029,13029,13029,12956,17,,2018,
,,99.81,0.0,98.07,8,100500,64,97.65,1280.30315,2801122,Staphylococcus aureus strain HICF0782,Good,MLST.saureus.22,13139,13139,13128,13026,13026,13026,17,,2018,
,,99.81,0.0,98.13,6,172914,58,97.95,1280.30316,2692639,Staphylococcus aureus strain HICF0781,Good,MLST.saureus.2625,13140,13140,13140,13140,13140,13140,332,,2018,
,,99.81,0.0,98.07,8,108007,57,97.65,1280.30317,2786974,Staphylococcus aureus strain HICF0784,Good,MLST.saureus.22,18275,18275,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.07,9,88554,64,97.77,1280.30318,2816414,Staphylococcus aureus strain HICF0789,Good,MLST.saureus.22,18276,18220,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.01,6,162150,58,97.77,1280.30319,2825405,Staphylococcus aureus strain HICF0791,Good,MLST.saureus.45,18277,18277,18277,18277,18231,18190,13028,,2018,
,,99.81,0.0,98.07,8,137509,59,97.65,1280.30320,2757662,Staphylococcus aureus strain HICF0786,Good,MLST.saureus.6,14014,14014,14014,14014,13956,13942,24,,2018,
,,99.81,0.0,98.07,10,87185,71,97.77,1280.30321,2812020,Staphylococcus aureus strain HICF0787,Good,MLST.saureus.22,14015,13953,13878,13878,13878,13878,17,,2018,
,,99.81,0.0,98.07,8,107384,67,97.77,1280.30322,2771992,Staphylococcus aureus strain HICF0800,Good,MLST.saureus.22,18278,18278,18191,18191,18191,1216,17,,2018,
,,99.81,0.0,98.13,5,187030,45,97.83,1280.30323,2770267,Staphylococcus aureus strain HICF0799,Good,MLST.saureus.5,13141,13141,13141,13141,13141,13141,9143,,2018,
,,99.81,0.0,98.07,9,87454,69,97.77,1280.30324,2765610,Staphylococcus aureus strain HICF0807,Good,MLST.saureus.22,13142,13142,13142,13142,13142,13125,17,,2018,
,,99.81,0.0,98.07,11,69784,107,97.77,1280.30325,2783671,Staphylococcus aureus strain HICF0798,Good,MLST.saureus.22,13143,13143,13143,13143,13143,13136,1294,,2018,
,,99.81,0.0,98.01,12,84822,63,97.71,1280.30326,2781102,Staphylococcus aureus strain HICF0806,Good,MLST.saureus.22,13144,13144,13144,13144,13144,12956,17,,2018,
,,99.81,0.0,98.07,8,105499,71,97.77,1280.30327,2738245,Staphylococcus aureus strain HICF0797,Good,MLST.saureus.80,13145,13145,13145,13145,13145,13145,1111,,2018,
,,99.81,0.0,98.07,10,100495,74,97.59,1280.30328,2860262,Staphylococcus aureus strain HICF0802,Good,MLST.saureus.22,14016,14016,13878,13878,13878,13878,17,,2018,
,,99.81,0.0,98.07,9,87197,75,97.77,1280.30329,2815721,Staphylococcus aureus strain HICF0801,Good,MLST.saureus.22,14017,13944,13878,13878,13878,13878,17,,2018,
